docdb_family_id,earliest_year,office,bloc,family_size,similarity,ai_score,found_by_query,band,era,g06n,cluster,neuro,ml
57588924,2017,CN,CN,4,0.7285,0.6719,cross:MEG|motor restoration,E,2010s,0,,,
58561515,2017,US,US,1,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
58841079,2017,CN,CN,1,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
60294690,2017,US,US,2,0.7285,0.6816,cross:MEG|motor restoration,E,2010s,1,,0,0
65257800,2018,CN,CN,1,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
66092046,2019,EP,EP,2,0.7285,0.6895,cross:MEG|motor restoration,E,2010s,0,,,
67308046,2018,JP,JP,1,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
69139708,2018,JP,JP,3,0.7285,0.668,cross:MEG|motor restoration,E,2010s,0,,,
70277107,2019,DE,EP,2,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
75584970,2020,RU,OTHER,1,0.7285,0.0,cross:MEG|motor restoration,E,2020+,0,,,
82021042,2022,WO,WO,5,0.7285,0.0,cross:MEG|motor restoration,E,2020+,0,,,
87012418,2023,CN,CN,1,0.7285,0.0,cross:MEG|motor restoration,E,2020+,0,,,
89370516,2023,CN,CN,1,0.7285,0.0,cross:MEG|motor restoration,E,2020+,0,,,
94160427,2024,CN,CN,1,0.7285,0.0,cross:MEG|motor restoration,E,2020+,0,,,
96056872,2023,WO,WO,1,0.7285,0.6855,cross:MEG|motor restoration,E,2020+,0,,,
75583802,2019,DE,EP,2,0.7285,0.0,cross:MEG|parkinson,E,2010s,0,,,
61691837,2018,EP,EP,6,0.7285,0.6895,cross:MEG|anaesthesia depth,E,2010s,0,,0,0
27674814,2002,DE,EP,2,0.7285,0.707,cross:in-ear EEG|motor restoration,E,pre2010,0,,,
46602002,2012,AU,OTHER,2,0.7285,0.6875,cross:MEG|parkinson,E,2010s,0,,,
6333351,1987,DE,EP,1,0.7285,0.6973,cross:dry electrode headset|motor restoration,E,pre2010,0,,,
7873366,1999,DE,EP,1,0.7285,0.0,cross:MEG|parkinson,E,pre2010,0,,,
22629261,1980,US,US,4,0.7285,0.0,cross:MEG|parkinson,E,pre2010,0,,,
30775545,2002,DE,EP,5,0.7285,0.6836,cross:fNIRS|prosthesis control,E,pre2010,0,,,
93658685,2024,WO,WO,1,0.7285,0.7109,cross:peripheral nerve stimulation|parkinson,E,2020+,0,,,
12414462,1976,JP,JP,1,0.7285,0.6953,cross:vagus nerve|speech communication,E,pre2010,0,,,
12852528,1977,JP,JP,1,0.7285,0.709,cross:MEG|speech communication,E,pre2010,0,,,
37389311,2005,CN,CN,1,0.7285,0.7012,cross:spinal cord stimulation|motor restoration,E,pre2010,0,,,
42116825,2008,US,US,1,0.7285,0.6719,cross:spinal cord stimulation|speech communication,E,pre2010,0,,,
6124202,1981,DE,EP,1,0.7285,0.6797,cross:MEG|speech communication,E,pre2010,0,,,
6131921,1981,DE,EP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
6520232,1994,DE,EP,1,0.7285,0.7168,cross:MEG|speech communication,E,pre2010,0,,,
8180494,2002,WO,WO,8,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
11689596,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
12657276,1975,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
12788441,1977,JP,JP,3,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
12903460,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
12913385,1976,JP,JP,1,0.7285,0.6816,cross:MEG|speech communication,E,pre2010,0,,,
12973492,1975,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
12988568,1975,JP,JP,1,0.7285,0.709,cross:MEG|speech communication,E,pre2010,0,,,
13513743,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
13548281,1976,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
13558118,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
13597632,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
13882637,1976,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
13908112,1975,JP,JP,1,0.7285,0.6934,cross:MEG|speech communication,E,pre2010,0,,,
14010451,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
14226795,1976,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
